timestamp,heart_rates
14:52,64
14:54,68
14:56,62
14:58,61
15:00,63
15:02,62
15:04,70
15:06,70
15:08,71
15:10,58
15:12,61
15:14,60
15:16,56
15:18,61
15:20,62
15:22,60
15:24,60
15:26,59
15:28,60
15:30,59
15:32,59
15:34,65
15:36,61
15:38,61
15:40,62
15:42,59
15:44,59
15:46,57
15:48,66
15:50,59
15:52,59
15:54,59
15:56,62
15:58,57
16:00,60
16:02,63
16:04,61
16:06,57
16:08,58
16:10,73
16:12,69
16:14,70
16:16,60
16:18,57
16:20,60
16:22,60
16:24,59
16:26,58
16:28,60
16:30,65
16:32,56
16:34,59
16:36,52
16:38,57
16:40,58
16:42,58
16:44,61
16:46,58
16:48,59
16:50,61
16:52,58
16:54,57
16:56,55
16:58,60
17:00,56
17:02,57
17:04,61
17:06,60
17:08,59
17:10,60
17:12,55
17:14,58
17:16,58
17:18,58
17:20,58
17:22,58
17:24,61
17:26,61
17:28,63
17:30,59
17:32,59
17:34,59
17:36,59
17:38,62
17:40,58
17:42,57
17:44,58
17:46,60
17:48,59
17:50,58
17:52,59
17:54,60
17:56,59
17:58,64
18:00,73
18:02,78
18:04,80
18:06,85
18:08,82
18:10,88
18:12,85
18:14,86
18:16,86
18:18,90
18:20,90
18:22,91
18:24,95
18:26,95
18:28,100
18:30,86
18:32,79
18:34,89
18:36,88
18:38,102
18:40,101
18:42,99
18:44,97
18:46,106
18:48,105
18:50,112
18:52,110
18:54,109
18:56,92
18:58,95
19:00,106
19:02,89
19:04,109
19:06,101
19:08,100
19:10,95
19:12,101
19:14,113
19:16,104
19:18,91
19:20,95
19:22,104
19:24,107
19:26,106
19:28,104
19:30,91
19:32,99
19:34,97
19:36,101
19:38,103
19:40,73
19:42,71
19:44,83
19:46,86
19:48,93
19:50,88
19:52,84
19:54,76
19:56,76
19:58,82
20:00,82
20:02,70
20:04,64
20:06,64
20:08,79
20:10,76
20:12,72
20:14,83
20:16,80
20:18,74
20:20,75
20:22,80
20:24,80
20:26,78
20:28,83
20:30,82
20:32,81
20:34,85
20:36,81
20:38,87
20:40,100
20:42,94
20:44,80
20:46,83
20:48,84
20:50,91
20:52,100
20:54,82
20:56,75
20:58,65
21:00,71
21:02,66
21:04,65
21:06,67
21:08,70
21:10,66
21:12,66
21:14,64
21:16,69
21:18,70
21:20,78
21:22,85
21:24,75
21:26,77
21:28,83
21:30,70
21:32,66
21:34,73
