start_time,end_time,sleep_type,date,time_slot,duration
08:21:00,08:22:00,0.0,2024-12-26,06:00-09:00,1.0
08:22:00,08:23:00,1.0,2024-12-26,06:00-09:00,1.0
08:23:00,08:25:00,0.0,2024-12-26,06:00-09:00,2.0
08:25:00,08:30:00,1.0,2024-12-26,06:00-09:00,5.0
08:30:00,08:34:00,0.0,2024-12-26,06:00-09:00,4.0
08:34:00,08:35:00,1.0,2024-12-26,06:00-09:00,1.0
08:35:00,08:40:00,0.0,2024-12-26,06:00-09:00,5.0
08:40:00,08:44:00,1.0,2024-12-26,06:00-09:00,4.0
08:44:00,08:50:00,0.0,2024-12-26,06:00-09:00,6.0
08:50:00,08:51:00,1.0,2024-12-26,06:00-09:00,1.0
08:51:00,08:59:00,0.0,2024-12-26,06:00-09:00,8.0
08:59:00,09:16:00,1.0,2024-12-26,06:00-09:00,1.0
08:59:00,09:16:00,1.0,2024-12-26,09:00-12:00,16.0
00:59:00,01:03:00,1.0,2024-12-27,00:00-03:00,4.0
01:03:00,01:24:00,0.0,2024-12-27,00:00-03:00,21.0
01:24:00,01:29:00,1.0,2024-12-27,00:00-03:00,5.0
01:29:00,01:35:00,0.0,2024-12-27,00:00-03:00,6.0
01:35:00,02:41:00,1.0,2024-12-27,00:00-03:00,66.0
02:41:00,03:07:00,0.0,2024-12-27,00:00-03:00,19.0
02:41:00,03:07:00,0.0,2024-12-27,03:00-06:00,7.0
03:07:00,03:18:00,1.0,2024-12-27,03:00-06:00,11.0
03:18:00,03:37:00,0.0,2024-12-27,03:00-06:00,19.0
03:37:00,05:14:00,1.0,2024-12-27,03:00-06:00,97.0
05:14:00,05:17:00,3.0,2024-12-27,03:00-06:00,3.0
05:17:00,06:21:00,1.0,2024-12-27,03:00-06:00,43.0
05:17:00,06:21:00,1.0,2024-12-27,06:00-09:00,21.0
06:21:00,06:31:00,0.0,2024-12-27,06:00-09:00,10.0
06:31:00,06:49:00,1.0,2024-12-27,06:00-09:00,18.0
06:49:00,07:01:00,2.0,2024-12-27,06:00-09:00,12.0
07:01:00,07:03:00,3.0,2024-12-27,06:00-09:00,2.0
07:03:00,07:13:00,1.0,2024-12-27,06:00-09:00,10.0
07:13:00,07:56:00,2.0,2024-12-27,06:00-09:00,43.0
01:18:00,01:19:00,1.0,2024-12-28,00:00-03:00,1.0
01:19:00,01:55:00,0.0,2024-12-28,00:00-03:00,36.0
01:55:00,01:57:00,3.0,2024-12-28,00:00-03:00,2.0
01:57:00,03:19:00,1.0,2024-12-28,00:00-03:00,63.0
01:57:00,03:19:00,1.0,2024-12-28,03:00-06:00,19.0
03:19:00,03:51:00,0.0,2024-12-28,03:00-06:00,32.0
03:51:00,03:52:00,3.0,2024-12-28,03:00-06:00,1.0
03:52:00,04:34:00,1.0,2024-12-28,03:00-06:00,42.0
04:34:00,04:35:00,3.0,2024-12-28,03:00-06:00,1.0
04:35:00,05:24:00,1.0,2024-12-28,03:00-06:00,49.0
05:24:00,05:43:00,2.0,2024-12-28,03:00-06:00,19.0
05:43:00,05:44:00,3.0,2024-12-28,03:00-06:00,1.0
05:44:00,06:28:00,1.0,2024-12-28,03:00-06:00,16.0
05:44:00,06:28:00,1.0,2024-12-28,06:00-09:00,28.0
06:28:00,06:34:00,3.0,2024-12-28,06:00-09:00,6.0
06:34:00,07:02:00,1.0,2024-12-28,06:00-09:00,28.0
07:02:00,07:22:00,2.0,2024-12-28,06:00-09:00,20.0
07:22:00,08:27:00,1.0,2024-12-28,06:00-09:00,65.0
08:27:00,08:51:48,2.0,2024-12-28,06:00-09:00,24.8
02:33:00,02:43:00,1.0,2024-12-29,00:00-03:00,10.0
02:43:00,03:01:00,0.0,2024-12-29,00:00-03:00,17.0
02:43:00,03:01:00,0.0,2024-12-29,03:00-06:00,1.0
03:01:00,03:05:00,3.0,2024-12-29,03:00-06:00,4.0
03:05:00,03:38:00,1.0,2024-12-29,03:00-06:00,33.0
03:38:00,03:45:00,0.0,2024-12-29,03:00-06:00,7.0
03:45:00,03:47:00,3.0,2024-12-29,03:00-06:00,2.0
03:47:00,03:57:00,1.0,2024-12-29,03:00-06:00,10.0
03:57:00,04:21:00,0.0,2024-12-29,03:00-06:00,24.0
04:21:00,04:23:00,3.0,2024-12-29,03:00-06:00,2.0
04:23:00,05:11:00,1.0,2024-12-29,03:00-06:00,48.0
05:11:00,05:42:00,0.0,2024-12-29,03:00-06:00,31.0
05:42:00,05:43:00,3.0,2024-12-29,03:00-06:00,1.0
05:43:00,08:49:00,1.0,2024-12-29,03:00-06:00,17.0
05:43:00,08:49:00,1.0,2024-12-29,06:00-09:00,169.0
08:49:00,09:04:00,2.0,2024-12-29,06:00-09:00,11.0
08:49:00,09:04:00,2.0,2024-12-29,09:00-12:00,4.0
09:04:00,09:09:00,3.0,2024-12-29,09:00-12:00,5.0
09:09:00,09:21:00,1.0,2024-12-29,09:00-12:00,12.0
00:11:00,00:23:00,1.0,2024-12-30,00:00-03:00,12.0
00:23:00,01:13:00,0.0,2024-12-30,00:00-03:00,50.0
01:13:00,01:14:00,3.0,2024-12-30,00:00-03:00,1.0
01:14:00,02:06:00,1.0,2024-12-30,00:00-03:00,52.0
02:06:00,02:19:00,0.0,2024-12-30,00:00-03:00,13.0
02:19:00,02:24:00,1.0,2024-12-30,00:00-03:00,5.0
02:24:00,02:28:00,3.0,2024-12-30,00:00-03:00,4.0
02:28:00,02:56:00,1.0,2024-12-30,00:00-03:00,28.0
02:56:00,03:03:00,0.0,2024-12-30,00:00-03:00,4.0
02:56:00,03:03:00,0.0,2024-12-30,03:00-06:00,3.0
03:03:00,03:21:00,1.0,2024-12-30,03:00-06:00,18.0
03:21:00,03:23:00,3.0,2024-12-30,03:00-06:00,2.0
03:23:00,03:35:00,1.0,2024-12-30,03:00-06:00,12.0
03:35:00,03:41:00,0.0,2024-12-30,03:00-06:00,6.0
03:41:00,03:49:00,1.0,2024-12-30,03:00-06:00,8.0
03:49:00,04:02:00,0.0,2024-12-30,03:00-06:00,13.0
04:02:00,04:16:00,1.0,2024-12-30,03:00-06:00,14.0
04:16:00,04:27:00,2.0,2024-12-30,03:00-06:00,11.0
04:27:00,04:28:00,3.0,2024-12-30,03:00-06:00,1.0
04:28:00,04:35:00,1.0,2024-12-30,03:00-06:00,7.0
04:35:00,04:52:00,2.0,2024-12-30,03:00-06:00,17.0
04:52:00,05:44:00,1.0,2024-12-30,03:00-06:00,52.0
05:44:00,06:02:00,2.0,2024-12-30,03:00-06:00,16.0
05:44:00,06:02:00,2.0,2024-12-30,06:00-09:00,2.0
06:02:00,06:25:00,1.0,2024-12-30,06:00-09:00,23.0
06:25:00,06:37:00,2.0,2024-12-30,06:00-09:00,12.0
06:37:00,07:07:00,1.0,2024-12-30,06:00-09:00,30.0
01:29:00,01:38:00,1.0,2024-12-31,00:00-03:00,9.0
01:38:00,02:10:00,0.0,2024-12-31,00:00-03:00,32.0
02:10:00,03:06:00,1.0,2024-12-31,00:00-03:00,50.0
02:10:00,03:06:00,1.0,2024-12-31,03:00-06:00,6.0
03:06:00,03:19:00,0.0,2024-12-31,03:00-06:00,13.0
03:19:00,03:20:00,3.0,2024-12-31,03:00-06:00,1.0
03:20:00,03:26:00,1.0,2024-12-31,03:00-06:00,6.0
03:26:00,03:51:00,0.0,2024-12-31,03:00-06:00,25.0
03:51:00,04:48:00,1.0,2024-12-31,03:00-06:00,57.0
